"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"Hear Nancy Pelosi’s message to Republicans following Trump’s indictment","UCupvZG-5ko_eiXAupbDfxWw",368101,7670,0,5758,"2023-08-02T22:17:29Z","News & Politics"
"The Lovato Crime Family Comes For Ethan &amp; True Crime PowerPoint - Off The Rails #80","UCLtREJY21xRfCuEKvdki1Kw",383357,13204,0,1506,"2023-08-02T23:41:50Z","Entertainment"
"Crush - Jasmit Kamal | JayB Singh | Rohit Negah | Savvy Singh | Latest Punjabi Song 2021","UCTQQxDHYMd-lLeyZtqTO9-Q",392826,1798,0,155,"2021-08-06T08:32:13Z","Music"
"HULK IS HERE (thicc)","UCTgQTM6B97Tk5FPNOWZMB1Q",390895,13926,0,448,"2022-12-08T15:30:21Z","Gaming"
"Ben Simmons Doesn&#39;t Want Trade to Blazers, Raptors! Iguodala Back to Warriors! 2021 NBA Free Agency","UCnzbVkknmqhRqUKg7RDTDeg",383454,14720,0,1621,"2021-08-06T16:19:55Z","Sports"
"Kısmetse Olur: Aşkın Gücü 202. Bölüm Tanıtımı","UCIehJzE4VrXFZow5I8nkNOQ",379995,4354,0,592,"2023-08-02T19:00:20Z","Entertainment"
"AVATAR 2: The Way Of Water Official Trailer Breakdown | Easter Eggs, Hidden Details And Plot Details","UCq3hT5JPPKy87JGbDls_5BQ",371350,9310,0,1025,"2022-05-09T14:05:03Z","Entertainment"
"Never Stop Learning at Melbourne Polytechnic","UClePEnOnePHra3IZRqpJMRQ",366677,14,0,0,"2022-12-20T22:22:44Z","Education"
"Soldier spotted a drone and thought it was there to kill him. See what drone did instead","UCupvZG-5ko_eiXAupbDfxWw",360190,6719,0,1134,"2023-08-02T17:36:00Z","News & Politics"
"ITZY &quot;CAKE&quot; Dance Practice (4K)","UCDhM2k2Cua-JdobAh5moMFg",330575,39833,0,1207,"2023-08-02T08:30:23Z","Entertainment"
"CHESS HISTORY!!!!!!","UCQHX6ViZmPsWiYSFAyS0a3Q",324430,17047,0,1004,"2023-08-02T17:34:00Z","Gaming"
"Grey&#39;s Anatomy 14x08 Promo &quot;Out of Nowhere&quot; (HD) Season 14 Episode 8 Promo Winter Finale","UCDR8cvjALazMm2j9hOar8_g",316229,699,0,48,"2017-11-10T02:02:52Z","Entertainment"
"Water Mission - Tommy&#39;s Express Car Wash","UCJ5hYPQ2x3un_jjtM6egPrQ",320448,66,0,1,"2019-08-05T14:32:06Z","Autos & Vehicles"
"What If You Lived In a Closed Biosphere?","UCphTF9wHwhCt-BzIq-s4V-g",309899,9479,0,659,"2020-11-29T17:40:31Z","Science & Technology"
"The Flash 6x01 Sneak Peek &quot;Into The Void&quot; (HD) Season 6 Episode 1 Sneak Peek","UCDR8cvjALazMm2j9hOar8_g",304917,6651,0,514,"2019-10-08T16:01:48Z","Entertainment"
"el juego de los parques se empieza a poner interesante","UCFR2oaNj02WnXkOgLH0iqOA",305156,22252,0,640,"2023-08-02T20:59:10Z","Gaming"
"FlightScope Mevo+ Simulation","UCNnNOqVS9LzDg-kLCF9IHWA",322710,9,0,5,"2021-08-04T14:53:26Z","Sports"
"Building Asia&#39;s Largest Retractable Stadium","UCokeVZg4VaSLVBDiziJsMDA",292524,7308,0,1227,"2021-11-06T03:41:37Z","Entertainment"
"ZORO VS SANJI (ft. @bdalawofficial )","UC2msEzmNU3Um7KF2EnXJBFA",290254,18034,0,1267,"2022-05-23T11:55:01Z","Entertainment"
"Prime Elections 2022 🔴 4K (110) || ਭਗਵੰਤ ਮਾਨ ਕਿਵੇਂ ਚਲਾਏਗਾ ਸਰਕਾਰ ?","UCztSIZEGBfWfC3Mq63QXnsA",288287,7575,0,654,"2022-03-11T14:34:03Z","News & Politics"
"Transforming Workplaces with Vital Spaces, Canada, English (short)","UCiJzesrQkwUa1MVxyONAKlw",287475,0,0,1,"2021-02-19T18:23:05Z","Science & Technology"
"Sister Wives: Signs Janelle And Kody Secretly Split","UCE-J6hbhHnVJyASqIYcZaAw",266846,3307,0,812,"2022-03-05T17:45:01Z","Entertainment"
"December 2022 Sneak Peek | Prime Gaming","UCPIp0jem85ZvqB8cPTj6WsQ",256453,287,0,107,"2022-11-30T15:05:55Z","Gaming"
"Penjara jadi Babak Baru untuk Panji Gumilang | AKIM tvOne","UCER4rvDnRBPr_ncYW4UCZjg",255920,2459,0,1675,"2023-08-02T14:30:08Z","News & Politics"
"Getting to know Blackwoods - Fasteners Specialists","UCfA8meUWjOmhLQKsUGnLOsQ",255255,4,0,0,"2022-04-06T05:00:32Z","People & Blogs"
"Inspiring Inclusion at dentsu","UCHWvZpY4V53xNaV7_9TMORg",253355,2,0,0,"2022-03-01T17:21:42Z","People & Blogs"
