"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"Eu Construi o TITANIC NO MINECRAFT","UCmhx7Q1WRB85e7bF-MHcehA",259345,10916,0,371,"2023-07-31T18:00:06Z","Gaming"
"These NATURAL SHAMPOOS will give your hair the ULTIMATE DETOX | The No-Poo Method","UCXyq6UjvT4dWjMOOiKuBncA",254537,7270,0,1974,"2020-12-14T06:30:03Z","Howto & Style"
"Broma en CDMX #shots #chilinypikin","UC4p1v_0mU2EM4hCjX8KiwwQ",254861,11822,0,42,"2023-07-31T16:36:11Z","People & Blogs"
"15 Stages You Go Through After Your Exams","UCMG7DKIrpZoJlRLqYe9NtQg",248091,11584,0,520,"2019-12-08T12:01:05Z","Entertainment"
"Gareth Soloway: Bitcoin to target $9k, S&amp;P 500 to fall 25% in 2023, no early Fed rescue","UC9ijza42jVR3T6b8bColgvg",245452,8863,0,1099,"2023-01-06T22:43:19Z","News & Politics"
"LOKI: What&#39;s Next for KANG in Ant-Man and the Wasp: QUANTUMANIA | Marvel Teaser BREAKDOWN","UCgMJGv4cQl8-q71AyFeFmtg",244525,6457,0,549,"2021-07-26T17:04:13Z","Film & Animation"
"Riot just changed healing items","UC_kXrYB-00uPaJvpRVrMilg",243352,5782,0,880,"2023-01-14T07:15:38Z","Gaming"
"If You Touch This Bug, You&#39;ll Get an Electric Shock!","UC4rlAVgAK0SGk-yTfe48Qpw",241183,4966,0,567,"2020-12-11T11:00:05Z","Howto & Style"
"Veg vs Non Veg - Rajma and Mutton | CookWithNisha","UCxSI_ScvntwbqmDD7VkspUQ",238340,9968,0,580,"2021-05-27T08:30:01Z","Howto & Style"
"Юрий Федоров. Проблемы наступления. Беседа с Юлией Латыниной","UCzaqqlriSjVyc795m86GVyg",243841,15033,0,768,"2023-07-31T16:00:11Z","News & Politics"
"GAK MANUK AKAL! NASI PADANG JUALAN DI MOBIL HARGA SUPER MURAH RASANYA ENAK BANGET!!","UC8rHUssNDJ9YEjfduAqJBmw",330507,12811,0,913,"2023-08-01T04:38:00Z","Entertainment"
"Geo News Headlines 9 PM - OGRA - Price Hike | 31 July 2023","UC_vt34wimdCzdkrzVejwX9g",236754,2539,0,84,"2023-07-31T16:42:25Z","News & Politics"
"THIS COULD KILL ME! 😱 - My Player Story Mode! (Ep. 17)","UCNWgHP_0lBoB8QqECjZTgoQ",229470,10664,0,465,"2022-01-25T17:01:59Z","Gaming"
